x,y,lon,lat,NO2,O3,PM10,PM25,SO2
0,0,113.817,22.1607,0,21.41004609,11.61030092,0,3.338407675
1,0,113.827,22.1607,0,0,0,0,0
2,0,113.837,22.1607,0,0,0,0,0
3,0,113.846,22.1607,0,0,0,0,0
4,0,113.856,22.1607,0,0,0,0,0
5,0,113.866,22.1607,0,0,0,0,0
6,0,113.876,22.1607,0,0,0,0,0
7,0,113.886,22.1607,0,0,0,0,0
8,0,113.896,22.1607,0,0,0,0,0
9,0,113.906,22.1608,0,0,0,0,0
10,0,113.916,22.1608,0,0,0,0,0
11,0,113.926,22.1608,0,0,0,0,0
12,0,113.936,22.1608,0,0,0,0,0
13,0,113.946,22.1608,0,0,0,0,0
14,0,113.955,22.1608,0,0,0,0,0
15,0,113.965,22.1608,0,0,0,0,0
16,0,113.975,22.1608,0,0,0,0,0
17,0,113.985,22.1608,0,0,0,0,0
18,0,113.995,22.1608,0,0,0,0,0
19,0,114.005,22.1608,0,0,0,0,0
20,0,114.015,22.1608,0,0,0,0,0
21,0,114.025,22.1608,0,0,0,0,0
22,0,114.035,22.1608,0,0,0,0,0
23,0,114.045,22.1608,0,0,0,0,0
24,0,114.054,22.1608,0,0,0,0,0
25,0,114.064,22.1608,0,0,0,0,0
26,0,114.074,22.1608,0,0,0,0,0
27,0,114.084,22.1608,0,0,0,0,0
28,0,114.094,22.1608,0,0,0,0,0
29,0,114.104,22.1607,0,0,0,0,0
30,0,114.114,22.1607,0,0,0,0,0
31,0,114.124,22.1607,0,0,0,0,0
32,0,114.134,22.1607,0,0,0,0,0
33,0,114.144,22.1607,0,0,0,0,0
34,0,114.153,22.1607,0,0,0,0,0
35,0,114.163,22.1607,0,0,0,0,0
36,0,114.173,22.1607,0,0,0,0,0
37,0,114.183,22.1607,0,0,0,0,0
38,0,114.193,22.1606,0,0,0,0,0
39,0,114.203,22.1606,0,0,0,0,0
40,0,114.213,22.1606,0,0,0,0,0
41,0,114.223,22.1606,0,0,0,0,0
42,0,114.233,22.1606,0,0,0,0,0
43,0,114.243,22.1606,0,0,0,0,0
44,0,114.253,22.1605,0,27.64558838,0,0,1.684451136
45,0,114.262,22.1605,0,27.31951995,0,0,0.814801991
46,0,114.272,22.1605,0,24.67730611,0,0,3.523896572
47,0,114.282,22.1605,0,0,0,0,0
48,0,114.292,22.1605,0,0,0,0,0
49,0,114.302,22.1604,0,0,0,0,0
50,0,114.312,22.1604,0,0,0,0,0
51,0,114.322,22.1604,0,0,0,0,0
52,0,114.332,22.1604,0,0,0,0,0
53,0,114.342,22.1603,0,0,0,0,0
54,0,114.352,22.1603,0,0,0,0,0
55,0,114.361,22.1603,0,0,0,0,0
56,0,114.371,22.1603,0,0,0,0,0
57,0,114.381,22.1602,0,0,0,0,0
58,0,114.391,22.1602,0,0,0,0,0
59,0,114.401,22.1602,0,0,0,0,0
60,0,114.411,22.1601,0,0,0,0,0
61,0,114.421,22.1601,0,0,0,0,0
62,0,114.431,22.1601,0,0,0,0,0
63,0,114.441,22.16,0,0,0,0,0
0,1,113.817,22.1698,0,27.39630887,7.77304578,1.36232302,3.701721768
1,1,113.827,22.1698,0,0,0,0,0
2,1,113.837,22.1698,0,0,0,0,0
3,1,113.846,22.1699,0,0,0,0,0
4,1,113.856,22.1699,0,0,0,0,0
5,1,113.866,22.1699,0,0,0,0,0
6,1,113.876,22.1699,0,0,0,0,0
7,1,113.886,22.1699,0,0,0,0,0
8,1,113.896,22.1699,0,0,0,0,0
9,1,113.906,22.1699,0,0,0,0,0
10,1,113.916,22.1699,5.735161959,31.9859593,0,0,0
11,1,113.926,22.1699,0,17.55621559,7.494007753,0,0.273506845
12,1,113.936,22.1699,0,0,0,0,0
13,1,113.946,22.1699,0,0,0,0,0
14,1,113.955,22.1699,0,0,0,0,0
15,1,113.965,22.1699,0,0,0,0,0
16,1,113.975,22.1699,0,0,0,0,0
17,1,113.985,22.1699,0,0,0,0,0
18,1,113.995,22.1699,0,0,0,0,0
19,1,114.005,22.1699,0,0,0,0,0
20,1,114.015,22.1699,0,0,0,0,0
21,1,114.025,22.1699,0,0,0,0,0
22,1,114.035,22.1699,0,0,0,0,0
23,1,114.045,22.1699,0,0,0,0,0
24,1,114.054,22.1699,0,0,0,0,0
25,1,114.064,22.1699,0,0,0,0,0
26,1,114.074,22.1699,0,0,0,0,0
27,1,114.084,22.1699,0,0,0,0,0
28,1,114.094,22.1699,0,0,0,0,0
29,1,114.104,22.1699,0,0,0,0,0
30,1,114.114,22.1699,0,0,0,0,0
31,1,114.124,22.1699,0,0,0,0,0
32,1,114.134,22.1699,0,0,0,0,0
33,1,114.144,22.1699,0,0,0,0,0
34,1,114.153,22.1699,0,0,0,0,0
35,1,114.163,22.1698,0,0,0,0,0
36,1,114.173,22.1698,0,0,0,0,0
37,1,114.183,22.1698,0,0,0,0,0
38,1,114.193,22.1698,0,0,0,0,0
39,1,114.203,22.1698,0,0,0,0,0
40,1,114.213,22.1698,0,0,0,0,0
41,1,114.223,22.1698,0,0,0,0,0
42,1,114.233,22.1697,0,0,0,0,0
43,1,114.243,22.1697,0,37.84719612,0,0,3.407979991
44,1,114.253,22.1697,0,19.34948015,0,0,2.680549374
45,1,114.262,22.1697,0,38.80767999,0.856688096,0,2.185319149
46,1,114.272,22.1697,0,39.72724339,0,0,2.819110814
47,1,114.282,22.1696,0,27.81740398,0,0,0.619118821
48,1,114.292,22.1696,0,0,0,0,0
49,1,114.302,22.1696,0,0,0,0,0
50,1,114.312,22.1696,0,0,0,0,0
51,1,114.322,22.1696,0,0,0,0,0
52,1,114.332,22.1695,0,0,0,0,0
53,1,114.342,22.1695,0,0,0,0,0
54,1,114.352,22.1695,0,0,0,0,0
55,1,114.361,22.1695,0,0,0,0,0
56,1,114.371,22.1694,0,0,0,0,0
57,1,114.381,22.1694,0,0,0,0,0
58,1,114.391,22.1694,0,0,0,0,0
59,1,114.401,22.1693,0,0,0,0,0
60,1,114.411,22.1693,0,0,0,0,0
61,1,114.421,22.1693,0,0,0,0,0
62,1,114.431,22.1693,0,0,0,0,0
63,1,114.441,22.1692,0,0,0,0,0
0,2,113.817,22.179,0,0,0,0,0
1,2,113.827,22.179,0,0,0,0,0
2,2,113.837,22.179,0,0,0,0,0
3,2,113.846,22.179,0,0,0,0,0
4,2,113.856,22.179,0,0,0,0,0
5,2,113.866,22.1791,0,0,0,0,0
6,2,113.876,22.1791,0,0,0,0,0
7,2,113.886,22.1791,0,0,0,0,0
8,2,113.896,22.1791,0,0,0,0,0
9,2,113.906,22.1791,0,31.81847254,0.246554522,0,2.334919099
10,2,113.916,22.1791,0,31.19510515,0,1.031127274,1.001992798
11,2,113.926,22.1791,10.24181109,28.27251521,0,0,0
12,2,113.936,22.1791,0,0,0,0,0
13,2,113.946,22.1791,0,0,0,0,0
14,2,113.955,22.1791,0,0,0,0,0
15,2,113.965,22.1791,0,0,0,0,0
16,2,113.975,22.1791,0,0,0,0,0
17,2,113.985,22.1791,0,0,0,0,0
18,2,113.995,22.1791,0,0,0,0,0
19,2,114.005,22.1791,0,0,0,0,0
20,2,114.015,22.1791,0,0,0,0,0
21,2,114.025,22.1791,0,0,0,0,0
22,2,114.035,22.1791,0,0,0,0,0
23,2,114.045,22.1791,0,0,0,0,0
24,2,114.054,22.1791,0,0,0,0,0
25,2,114.064,22.1791,0,0,0,0,0
26,2,114.074,22.1791,0,0,0,0,0
27,2,114.084,22.1791,0,0,0,0,0
28,2,114.094,22.1791,0,0,0,0,0
29,2,114.104,22.1791,0,0,0,0,0
30,2,114.114,22.1791,0,0,0,0,0
31,2,114.124,22.1791,0,0,0,0,0
32,2,114.134,22.1791,0,0,0,0,0
33,2,114.144,22.179,0,0,0,0,0
34,2,114.154,22.179,0,0,0,0,0
35,2,114.163,22.179,0,0,0,0,0
36,2,114.173,22.179,0,0,0,0,0
37,2,114.183,22.179,0,0,0,0,0
38,2,114.193,22.179,0,0,0,0,0
39,2,114.203,22.179,0,0,0,0,0
40,2,114.213,22.1789,0,0,0,0,0
41,2,114.223,22.1789,0,0,0,0,0
42,2,114.233,22.1789,0,0,0,0,0
43,2,114.243,22.1789,0,0,0,0,0
44,2,114.253,22.1789,0,33.45060078,0,0,3.53463852
45,2,114.262,22.1789,0,29.55395565,0,0,2.659668084
46,2,114.272,22.1788,0,38.38865439,0,0,3.90347484
47,2,114.282,22.1788,0,0,0,0,0
48,2,114.292,22.1788,0,0,0,0,0
49,2,114.302,22.1788,0,0,0,0,0
50,2,114.312,22.1788,0,0,0,0,0
51,2,114.322,22.1787,0,0,0,0,0
52,2,114.332,22.1787,0,0,0,0,0
53,2,114.342,22.1787,0,0,0,0,0
54,2,114.352,22.1787,0,0,0,0,0
55,2,114.361,22.1786,0,0,0,0,0
56,2,114.371,22.1786,0,0,0,0,0
57,2,114.381,22.1786,0,0,0,0,0
58,2,114.391,22.1786,0,0,0,0,0
59,2,114.401,22.1785,0,0,0,0,0
60,2,114.411,22.1785,0,0,0,0,0
61,2,114.421,22.1785,0,0,0,0,0
62,2,114.431,22.1784,0,0,0,0,0
63,2,114.441,22.1784,0,0,0,0,0
0,3,113.817,22.1882,0,0,0,0,0
1,3,113.827,22.1882,0,0,0,0,0
2,3,113.837,22.1882,0,0,0,0,0
3,3,113.846,22.1882,0,14.91485096,0,0,1.310008577
4,3,113.856,22.1882,0.309704325,19.97452537,0,0,2.995363251
5,3,113.866,22.1882,2.538272349,5.343551082,0,0,0.923444449
6,3,113.876,22.1882,0,0,0,0,0
7,3,113.886,22.1883,0,0,0,0,0
8,3,113.896,22.1883,0,0,0,0,0
9,3,113.906,22.1883,0,0,0,0,0
10,3,113.916,22.1883,0,10.27401305,0,0,2.519845311
11,3,113.926,22.1883,5.98132062,25.73971578,0,1.313920641,0.418072865
12,3,113.936,22.1883,0,0,0,0,0
13,3,113.946,22.1883,0,0,0,0,0
14,3,113.955,22.1883,0,0,0,0,0
15,3,113.965,22.1883,0,0,0,0,0
16,3,113.975,22.1883,0,0,0,0,0
17,3,113.985,22.1883,0,0,0,0,0
18,3,113.995,22.1883,0,0,0,0,0
19,3,114.005,22.1883,0,0,0,0,0
20,3,114.015,22.1883,4.095697662,13.49335305,0,0,0.347169357
21,3,114.025,22.1883,4.744388355,0,0,0,0.887253726
22,3,114.035,22.1883,10.24950811,9.017998978,0,0,1.856536983
23,3,114.045,22.1883,11.06188067,1.598404829,0,0,2.68396172
24,3,114.054,22.1883,0,0,0,0,0
25,3,114.064,22.1883,0,0,0,0,0
26,3,114.074,22.1883,0,0,0,0,0
