,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,18.0851,46.4286,30.0,19.0,1.52672,CL_R,34,13
1,2017-01-01 01:00:00,25.5319,38.7755,33.0,20.0,1.52672,CL_R,34,13
2,2017-01-01 02:00:00,28.1915,38.7755,29.0,17.0,1.52672,CL_R,34,13
3,2017-01-01 03:00:00,38.2979,33.1633,33.0,17.0,1.52672,CL_R,34,13
4,2017-01-01 04:00:00,45.2128,24.4898,31.0,15.0,1.14504,CL_R,34,13
5,2017-01-01 05:00:00,42.5532,22.9592,30.0,13.0,1.9084,CL_R,34,13
6,2017-01-01 06:00:00,35.6383,26.5306,30.0,13.0,1.14504,CL_R,34,13
7,2017-01-01 07:00:00,32.4468,28.5714,24.0,8.0,1.14504,CL_R,34,13
8,2017-01-01 08:00:00,32.4468,27.551,26.0,10.0,1.14504,CL_R,34,13
9,2017-01-01 09:00:00,28.7234,30.6122,30.0,13.0,1.14504,CL_R,34,13
10,2017-01-01 10:00:00,25.0,35.7143,30.0,13.0,1.14504,CL_R,34,13
11,2017-01-01 11:00:00,23.9362,32.6531,29.0,14.0,1.52672,CL_R,34,13
12,2017-01-01 12:00:00,17.5532,34.1837,30.0,15.0,1.52672,CL_R,34,13
13,2017-01-01 13:00:00,12.765999999999998,37.2449,25.0,11.0,1.14504,CL_R,34,13
14,2017-01-01 14:00:00,11.1702,37.2449,20.0,7.0,1.52672,CL_R,34,13
15,2017-01-01 15:00:00,20.2128,28.5714,22.0,7.0,1.52672,CL_R,34,13
16,2017-01-01 16:00:00,29.7872,22.449,27.0,10.0,1.52672,CL_R,34,13
17,2017-01-01 17:00:00,34.0426,18.3673,28.0,11.0,1.52672,CL_R,34,13
18,2017-01-01 18:00:00,34.0426,19.898,32.0,14.0,1.52672,CL_R,34,13
19,2017-01-01 19:00:00,43.0851,17.3469,34.0,17.0,1.52672,CL_R,34,13
20,2017-01-01 20:00:00,43.617,19.898,33.0,13.0,1.52672,CL_R,34,13
21,2017-01-01 21:00:00,42.0213,26.0204,27.0,11.0,1.52672,CL_R,34,13
22,2017-01-01 22:00:00,36.1702,31.6327,20.0,10.0,1.14504,CL_R,34,13
23,2017-01-01 23:00:00,43.0851,29.5918,21.0,9.0,1.14504,CL_R,34,13
24,2017-01-02 00:00:00,65.9574,18.3673,30.0,15.0,2.67176,CL_R,34,13
25,2017-01-02 01:00:00,97.8723,2.5510200000000003,44.0,25.0,5.34351,CL_R,34,13
26,2017-01-02 02:00:00,104.255,1.53061,53.0,30.0,6.10687,CL_R,34,13
27,2017-01-02 03:00:00,95.7447,1.02041,64.0,34.0,7.633589999999999,CL_R,34,13
28,2017-01-02 04:00:00,97.8723,1.02041,81.0,38.0,7.633589999999999,CL_R,34,13
29,2017-01-02 05:00:00,89.3617,1.02041,73.0,42.0,8.77863,CL_R,34,13
30,2017-01-02 06:00:00,85.1064,1.02041,73.0,47.0,7.633589999999999,CL_R,34,13
31,2017-01-02 07:00:00,83.5106,1.02041,72.0,49.0,4.96183,CL_R,34,13
32,2017-01-02 08:00:00,76.5957,1.02041,62.0,42.0,4.58015,CL_R,34,13
33,2017-01-02 09:00:00,65.9574,1.02041,52.0,35.0,4.96183,CL_R,34,13
34,2017-01-02 10:00:00,51.0638,1.02041,36.0,24.0,2.29008,CL_R,34,13
35,2017-01-02 11:00:00,51.5957,1.53061,29.0,19.0,1.9084,CL_R,34,13
36,2017-01-02 12:00:00,55.3191,1.53061,30.0,19.0,2.29008,CL_R,34,13
37,2017-01-02 13:00:00,65.4255,1.53061,53.0,40.0,2.67176,CL_R,34,13
38,2017-01-02 14:00:00,62.766000000000005,2.04082,66.0,51.0,2.29008,CL_R,34,13
39,2017-01-02 15:00:00,70.7447,1.02041,51.0,36.0,2.29008,CL_R,34,13
40,2017-01-02 16:00:00,54.7872,7.653060000000001,56.0,38.0,3.81679,CL_R,34,13
41,2017-01-02 17:00:00,56.383,8.67347,56.0,37.0,3.05344,CL_R,34,13
42,2017-01-02 18:00:00,48.9362,11.2245,41.0,24.0,2.29008,CL_R,34,13
43,2017-01-02 19:00:00,47.3404,13.2653,32.0,15.0,1.9084,CL_R,34,13
44,2017-01-02 20:00:00,42.0213,16.3265,33.0,16.0,1.52672,CL_R,34,13
45,2017-01-02 21:00:00,40.4255,18.8776,33.0,18.0,1.14504,CL_R,34,13
46,2017-01-02 22:00:00,42.0213,25.0,24.0,12.0,1.14504,CL_R,34,13
47,2017-01-02 23:00:00,45.2128,26.5306,33.0,19.0,1.52672,CL_R,34,13
48,2017-01-03 00:00:00,50.5319,21.9388,38.0,23.0,1.14504,CL_R,34,13
49,2017-01-03 01:00:00,47.8723,20.4082,34.0,20.0,1.14504,CL_R,34,13
50,2017-01-03 02:00:00,51.0638,18.8776,31.0,17.0,1.52672,CL_R,34,13
51,2017-01-03 03:00:00,54.7872,13.2653,23.0,10.0,1.52672,CL_R,34,13
52,2017-01-03 04:00:00,46.8085,16.3265,16.0,7.0,1.14504,CL_R,34,13
53,2017-01-03 05:00:00,38.8298,19.3878,19.0,10.0,1.14504,CL_R,34,13
54,2017-01-03 06:00:00,38.2979,18.3673,20.0,9.0,0.763359,CL_R,34,13
55,2017-01-03 07:00:00,33.5106,21.4286,15.0,5.0,0.763359,CL_R,34,13
56,2017-01-03 08:00:00,32.9787,26.0204,18.0,6.0,0.763359,CL_R,34,13
57,2017-01-03 09:00:00,28.7234,30.6122,25.0,11.0,0.763359,CL_R,34,13
58,2017-01-03 10:00:00,17.5532,42.8571,29.0,16.0,0.381679,CL_R,34,13
59,2017-01-03 11:00:00,14.3617,45.9184,33.0,19.0,0.381679,CL_R,34,13
60,2017-01-03 12:00:00,11.1702,44.898,33.0,18.0,0.381679,CL_R,34,13
61,2017-01-03 13:00:00,8.510639999999999,41.3265,25.0,13.0,0.381679,CL_R,34,13
62,2017-01-03 14:00:00,12.765999999999998,35.2041,19.0,10.0,0.763359,CL_R,34,13
63,2017-01-03 15:00:00,19.1489,31.1224,19.0,10.0,0.763359,CL_R,34,13
64,2017-01-03 16:00:00,36.7021,19.3878,17.0,9.0,1.14504,CL_R,34,13
65,2017-01-03 17:00:00,51.5957,11.7347,20.0,11.0,1.52672,CL_R,34,13
66,2017-01-03 18:00:00,53.7234,11.7347,26.0,15.0,1.52672,CL_R,34,13
67,2017-01-03 19:00:00,48.9362,15.3061,30.0,18.0,1.52672,CL_R,34,13
68,2017-01-03 20:00:00,45.2128,21.4286,33.0,21.0,1.52672,CL_R,34,13
69,2017-01-03 21:00:00,39.8936,27.0408,31.0,19.0,1.52672,CL_R,34,13
70,2017-01-03 22:00:00,52.1277,22.449,33.0,21.0,1.9084,CL_R,34,13
71,2017-01-03 23:00:00,57.4468,17.8571,35.0,21.0,1.9084,CL_R,34,13
72,2017-01-04 00:00:00,51.0638,18.3673,24.0,15.0,1.52672,CL_R,34,13
73,2017-01-04 01:00:00,56.383,18.3673,23.0,14.0,1.9084,CL_R,34,13
74,2017-01-04 02:00:00,75.0,12.7551,34.0,21.0,2.29008,CL_R,34,13
75,2017-01-04 03:00:00,81.9149,9.69388,45.0,30.0,4.1984699999999995,CL_R,34,13
76,2017-01-04 04:00:00,73.4043,13.2653,49.0,34.0,5.34351,CL_R,34,13
77,2017-01-04 05:00:00,67.0213,13.7755,46.0,32.0,2.29008,CL_R,34,13
78,2017-01-04 06:00:00,65.9574,11.7347,46.0,33.0,2.29008,CL_R,34,13
79,2017-01-04 07:00:00,50.5319,20.4082,35.0,21.0,1.9084,CL_R,34,13
80,2017-01-04 08:00:00,44.6809,26.0204,41.0,27.0,2.29008,CL_R,34,13
81,2017-01-04 09:00:00,47.3404,20.9184,41.0,25.0,2.67176,CL_R,34,13
82,2017-01-04 10:00:00,31.9149,23.9796,28.0,17.0,1.52672,CL_R,34,13
83,2017-01-04 11:00:00,30.3191,27.551,19.0,11.0,1.52672,CL_R,34,13
84,2017-01-04 12:00:00,17.0213,37.7551,23.0,14.0,1.9084,CL_R,34,13
85,2017-01-04 13:00:00,14.3617,39.7959,27.0,17.0,1.52672,CL_R,34,13
86,2017-01-04 14:00:00,28.1915,22.9592,18.0,11.0,1.14504,CL_R,34,13
87,2017-01-04 15:00:00,40.9574,10.7143,14.0,8.0,1.14504,CL_R,34,13
88,2017-01-04 16:00:00,54.2553,4.59184,14.0,8.0,1.52672,CL_R,34,13
89,2017-01-04 17:00:00,65.4255,3.06122,17.0,9.0,2.67176,CL_R,34,13
90,2017-01-04 18:00:00,65.4255,4.0816300000000005,21.0,12.0,2.29008,CL_R,34,13
91,2017-01-04 19:00:00,63.8298,6.12245,23.0,14.0,1.9084,CL_R,34,13
92,2017-01-04 20:00:00,61.1702,7.653060000000001,22.0,13.0,1.9084,CL_R,34,13
93,2017-01-04 21:00:00,52.6596,12.2449,20.0,12.0,1.52672,CL_R,34,13
94,2017-01-04 22:00:00,57.4468,12.7551,21.0,10.0,1.52672,CL_R,34,13
95,2017-01-04 23:00:00,56.383,11.2245,17.0,8.0,1.9084,CL_R,34,13
96,2017-01-05 00:00:00,68.0851,5.102040000000001,25.0,14.0,2.29008,CL_R,34,13
97,2017-01-05 01:00:00,73.9362,2.5510200000000003,21.0,10.0,2.67176,CL_R,34,13
98,2017-01-05 02:00:00,76.0638,1.02041,30.0,16.0,3.05344,CL_R,34,13
99,2017-01-05 03:00:00,80.8511,1.02041,36.0,22.0,3.81679,CL_R,34,13
100,2017-01-05 04:00:00,94.1489,1.02041,38.0,23.0,4.96183,CL_R,34,13
101,2017-01-05 05:00:00,85.6383,1.02041,48.0,31.0,5.34351,CL_R,34,13
102,2017-01-05 06:00:00,77.1277,1.02041,49.0,27.0,4.96183,CL_R,34,13
103,2017-01-05 07:00:00,67.0213,1.02041,45.0,27.0,3.81679,CL_R,34,13
104,2017-01-05 08:00:00,54.2553,6.63265,38.0,25.0,3.81679,CL_R,34,13
105,2017-01-05 09:00:00,59.5745,2.5510200000000003,40.0,26.0,3.05344,CL_R,34,13
106,2017-01-05 10:00:00,39.3617,18.3673,32.0,21.0,1.9084,CL_R,34,13
107,2017-01-05 11:00:00,32.9787,17.8571,28.0,20.0,1.9084,CL_R,34,13
108,2017-01-05 12:00:00,31.383000000000003,17.8571,22.0,14.0,1.9084,CL_R,34,13
