,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,29.2553,33.6735,24.0,14.0,3.05344,KC_A,31,22
1,2017-01-01 01:00:00,32.4468,28.5714,35.0,20.0,3.43511,KC_A,31,22
2,2017-01-01 02:00:00,28.1915,31.1224,33.0,24.0,3.43511,KC_A,31,22
3,2017-01-01 03:00:00,32.9787,22.9592,44.0,33.0,3.43511,KC_A,31,22
4,2017-01-01 04:00:00,42.5532,19.3878,36.0,28.0,3.05344,KC_A,31,22
5,2017-01-01 05:00:00,22.3404,36.7347,35.0,30.0,3.05344,KC_A,31,22
6,2017-01-01 06:00:00,20.2128,34.1837,44.0,29.0,2.67176,KC_A,31,22
7,2017-01-01 07:00:00,21.8085,30.101999999999997,38.0,22.0,2.67176,KC_A,31,22
8,2017-01-01 08:00:00,28.1915,25.0,33.0,25.0,2.67176,KC_A,31,22
9,2017-01-01 09:00:00,20.7447,32.6531,37.0,22.0,2.67176,KC_A,31,22
10,2017-01-01 10:00:00,18.0851,33.6735,39.0,16.0,2.67176,KC_A,31,22
11,2017-01-01 11:00:00,23.9362,18.8776,32.0,18.0,2.67176,KC_A,31,22
12,2017-01-01 12:00:00,14.8936,28.5714,30.0,21.0,2.67176,KC_A,31,22
13,2017-01-01 13:00:00,11.7021,31.1224,33.0,14.0,2.67176,KC_A,31,22
14,2017-01-01 14:00:00,10.6383,30.101999999999997,30.0,12.0,2.67176,KC_A,31,22
15,2017-01-01 15:00:00,17.5532,26.5306,21.0,7.0,2.67176,KC_A,31,22
16,2017-01-01 16:00:00,24.4681,16.3265,23.0,6.0,2.67176,KC_A,31,22
17,2017-01-01 17:00:00,23.9362,17.3469,27.0,15.0,3.05344,KC_A,31,22
18,2017-01-01 18:00:00,17.0213,31.6327,23.0,13.0,3.81679,KC_A,31,22
19,2017-01-01 19:00:00,22.3404,31.6327,32.0,12.0,3.43511,KC_A,31,22
20,2017-01-01 20:00:00,17.5532,40.3061,33.0,12.0,3.05344,KC_A,31,22
