,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,13.8298,44.898,42.0,21.0,3.43511,KT_A,41,17
1,2017-01-01 01:00:00,18.0851,41.3265,42.0,28.0,3.81679,KT_A,41,17
2,2017-01-01 02:00:00,17.0213,45.4082,47.0,24.0,3.81679,KT_A,41,17
3,2017-01-01 03:00:00,22.8723,38.2653,46.0,21.0,3.43511,KT_A,41,17
4,2017-01-01 04:00:00,22.8723,32.6531,47.0,24.0,3.05344,KT_A,41,17
5,2017-01-01 05:00:00,18.617,33.6735,41.0,24.0,3.43511,KT_A,41,17
6,2017-01-01 06:00:00,19.1489,31.1224,43.0,23.0,3.43511,KT_A,41,17
7,2017-01-01 07:00:00,17.5532,31.6327,43.0,16.0,3.05344,KT_A,41,17
8,2017-01-01 08:00:00,17.5532,32.6531,42.0,18.0,3.05344,KT_A,41,17
9,2017-01-01 09:00:00,15.9574,32.1429,47.0,21.0,3.05344,KT_A,41,17
10,2017-01-01 10:00:00,13.2979,34.1837,42.0,24.0,3.05344,KT_A,41,17
11,2017-01-01 11:00:00,11.7021,34.1837,48.0,18.0,3.43511,KT_A,41,17
12,2017-01-01 12:00:00,6.38298,36.2245,43.0,22.0,4.58015,KT_A,41,17
13,2017-01-01 13:00:00,6.38298,35.2041,39.0,18.0,3.43511,KT_A,41,17
14,2017-01-01 14:00:00,8.510639999999999,33.6735,41.0,18.0,3.43511,KT_A,41,17
15,2017-01-01 15:00:00,12.765999999999998,29.0816,37.0,16.0,3.43511,KT_A,41,17
16,2017-01-01 16:00:00,17.5532,25.5102,32.0,15.0,3.43511,KT_A,41,17
17,2017-01-01 17:00:00,17.0213,25.5102,37.0,19.0,3.43511,KT_A,41,17
18,2017-01-01 18:00:00,20.2128,26.0204,43.0,23.0,3.81679,KT_A,41,17
19,2017-01-01 19:00:00,22.3404,28.5714,51.0,20.0,3.43511,KT_A,41,17
20,2017-01-01 20:00:00,23.9362,31.6327,40.0,21.0,3.43511,KT_A,41,17
21,2017-01-01 21:00:00,25.0,35.7143,35.0,21.0,3.81679,KT_A,41,17
22,2017-01-01 22:00:00,26.0638,39.2857,52.0,28.0,3.81679,KT_A,41,17
23,2017-01-01 23:00:00,25.5319,45.4082,43.0,25.0,3.43511,KT_A,41,17
24,2017-01-02 00:00:00,28.7234,39.2857,60.0,35.0,3.05344,KT_A,41,17
25,2017-01-02 01:00:00,53.7234,21.4286,47.0,21.0,3.43511,KT_A,41,17
26,2017-01-02 02:00:00,48.9362,21.9388,53.0,30.0,3.05344,KT_A,41,17
27,2017-01-02 03:00:00,53.7234,15.8163,59.0,32.0,3.43511,KT_A,41,17
28,2017-01-02 04:00:00,50.5319,15.3061,62.0,36.0,3.43511,KT_A,41,17
29,2017-01-02 05:00:00,40.4255,23.9796,67.0,42.0,3.81679,KT_A,41,17
30,2017-01-02 06:00:00,40.4255,25.5102,54.0,37.0,3.81679,KT_A,41,17
31,2017-01-02 07:00:00,36.7021,29.5918,51.0,34.0,3.43511,KT_A,41,17
32,2017-01-02 08:00:00,55.3191,12.7551,53.0,33.0,3.43511,KT_A,41,17
33,2017-01-02 09:00:00,57.4468,9.69388,49.0,32.0,3.43511,KT_A,41,17
34,2017-01-02 10:00:00,60.6383,1.53061,50.0,33.0,3.05344,KT_A,41,17
35,2017-01-02 11:00:00,54.2553,1.53061,54.0,35.0,3.05344,KT_A,41,17
36,2017-01-02 12:00:00,51.0638,1.53061,53.0,30.0,3.81679,KT_A,41,17
37,2017-01-02 13:00:00,52.6596,1.53061,46.0,29.0,3.05344,KT_A,41,17
38,2017-01-02 14:00:00,60.6383,2.04082,51.0,39.0,3.05344,KT_A,41,17
39,2017-01-02 15:00:00,56.9149,9.18367,62.0,46.0,3.81679,KT_A,41,17
40,2017-01-02 16:00:00,32.4468,17.8571,71.0,45.0,4.1984699999999995,KT_A,41,17
41,2017-01-02 17:00:00,25.0,21.9388,72.0,50.0,3.81679,KT_A,41,17
