,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,77.6596,10.7143,47.0,36.0,1.52672,MKaR,35,18
1,2017-01-01 01:00:00,59.5745,12.7551,44.0,34.0,1.52672,MKaR,35,18
2,2017-01-01 02:00:00,57.9787,14.7959,43.0,33.0,1.9084,MKaR,35,18
3,2017-01-01 03:00:00,45.2128,28.5714,44.0,31.0,1.52672,MKaR,35,18
4,2017-01-01 04:00:00,43.0851,18.8776,54.0,40.0,1.14504,MKaR,35,18
5,2017-01-01 05:00:00,45.2128,17.3469,50.0,36.0,1.14504,MKaR,35,18
6,2017-01-01 06:00:00,46.8085,14.7959,46.0,32.0,1.14504,MKaR,35,18
7,2017-01-01 07:00:00,41.4894,15.3061,39.0,24.0,0.763359,MKaR,35,18
8,2017-01-01 08:00:00,41.4894,15.8163,36.0,22.0,0.763359,MKaR,35,18
9,2017-01-01 09:00:00,39.8936,14.7959,36.0,22.0,0.763359,MKaR,35,18
10,2017-01-01 10:00:00,32.9787,18.8776,41.0,26.0,0.763359,MKaR,35,18
11,2017-01-01 11:00:00,34.0426,17.3469,41.0,25.0,0.763359,MKaR,35,18
12,2017-01-01 12:00:00,22.3404,24.4898,37.0,22.0,1.14504,MKaR,35,18
13,2017-01-01 13:00:00,21.2766,24.4898,29.0,18.0,1.14504,MKaR,35,18
14,2017-01-01 14:00:00,21.8085,24.4898,26.0,15.0,1.14504,MKaR,35,18
15,2017-01-01 15:00:00,32.9787,15.3061,29.0,18.0,1.14504,MKaR,35,18
16,2017-01-01 16:00:00,38.8298,11.2245,36.0,23.0,1.14504,MKaR,35,18
17,2017-01-01 17:00:00,39.8936,9.69388,37.0,24.0,1.14504,MKaR,35,18
18,2017-01-01 18:00:00,40.4255,13.2653,38.0,26.0,1.14504,MKaR,35,18
19,2017-01-01 19:00:00,42.0213,11.7347,37.0,25.0,1.14504,MKaR,35,18
20,2017-01-01 20:00:00,43.0851,13.7755,39.0,27.0,1.14504,MKaR,35,18
21,2017-01-01 21:00:00,58.5106,12.7551,30.0,21.0,1.14504,MKaR,35,18
22,2017-01-01 22:00:00,61.1702,13.7755,35.0,26.0,1.52672,MKaR,35,18
23,2017-01-01 23:00:00,76.5957,6.12245,39.0,26.0,4.1984699999999995,MKaR,35,18
24,2017-01-02 00:00:00,88.2979,6.12245,50.0,33.0,6.48855,MKaR,35,18
25,2017-01-02 01:00:00,89.3617,4.0816300000000005,60.0,43.0,6.10687,MKaR,35,18
26,2017-01-02 02:00:00,92.0213,1.02041,62.0,45.0,5.7251900000000004,MKaR,35,18
27,2017-01-02 03:00:00,90.9574,1.02041,64.0,45.0,8.39695,MKaR,35,18
28,2017-01-02 04:00:00,86.7021,1.02041,67.0,49.0,8.77863,MKaR,35,18
29,2017-01-02 05:00:00,86.1702,0.510204,68.0,51.0,6.87023,MKaR,35,18
30,2017-01-02 06:00:00,80.3191,1.02041,71.0,54.0,4.58015,MKaR,35,18
31,2017-01-02 07:00:00,78.1915,0.510204,72.0,55.0,3.05344,MKaR,35,18
32,2017-01-02 08:00:00,75.0,0.510204,74.0,56.0,2.29008,MKaR,35,18
33,2017-01-02 09:00:00,71.8085,0.255102,75.0,57.0,4.58015,MKaR,35,18
34,2017-01-02 10:00:00,68.617,0.382653,66.0,50.0,1.9084,MKaR,35,18
35,2017-01-02 11:00:00,68.617,0.510204,60.0,46.0,1.52672,MKaR,35,18
36,2017-01-02 12:00:00,67.5532,0.510204,60.0,47.0,1.52672,MKaR,35,18
37,2017-01-02 13:00:00,72.8723,0.510204,62.0,49.0,1.52672,MKaR,35,18
38,2017-01-02 14:00:00,70.7447,0.510204,66.0,53.0,1.52672,MKaR,35,18
39,2017-01-02 15:00:00,78.7234,0.510204,80.0,66.0,1.52672,MKaR,35,18
40,2017-01-02 16:00:00,53.1915,3.5714300000000003,81.0,65.0,2.29008,MKaR,35,18
41,2017-01-02 17:00:00,48.9362,8.163269999999999,75.0,58.0,1.9084,MKaR,35,18
42,2017-01-02 18:00:00,50.0,8.163269999999999,61.0,44.0,1.9084,MKaR,35,18
43,2017-01-02 19:00:00,50.0,8.163269999999999,57.0,38.0,1.52672,MKaR,35,18
44,2017-01-02 20:00:00,52.1277,7.142860000000001,55.0,37.0,1.14504,MKaR,35,18
45,2017-01-02 21:00:00,59.0426,5.61225,48.0,32.0,1.14504,MKaR,35,18
46,2017-01-02 22:00:00,46.2766,15.3061,50.0,37.0,1.14504,MKaR,35,18
47,2017-01-02 23:00:00,53.1915,16.8367,57.0,42.0,1.14504,MKaR,35,18
48,2017-01-03 00:00:00,50.5319,17.3469,58.0,41.0,1.14504,MKaR,35,18
49,2017-01-03 01:00:00,54.2553,14.2857,50.0,35.0,1.14504,MKaR,35,18
50,2017-01-03 02:00:00,56.383,8.67347,46.0,30.0,1.14504,MKaR,35,18
51,2017-01-03 03:00:00,52.6596,11.2245,43.0,30.0,1.14504,MKaR,35,18
52,2017-01-03 04:00:00,44.6809,10.7143,37.0,27.0,0.763359,MKaR,35,18
53,2017-01-03 05:00:00,44.6809,8.67347,39.0,30.0,0.763359,MKaR,35,18
54,2017-01-03 06:00:00,45.2128,8.163269999999999,36.0,27.0,0.763359,MKaR,35,18
55,2017-01-03 07:00:00,43.617,9.18367,31.0,23.0,0.763359,MKaR,35,18
56,2017-01-03 08:00:00,44.1489,12.2449,30.0,20.0,0.763359,MKaR,35,18
57,2017-01-03 09:00:00,39.3617,17.8571,35.0,24.0,0.763359,MKaR,35,18
58,2017-01-03 10:00:00,29.7872,26.0204,37.0,27.0,0.381679,MKaR,35,18
59,2017-01-03 11:00:00,25.0,30.6122,41.0,29.0,0.381679,MKaR,35,18
60,2017-01-03 12:00:00,23.4043,28.0612,46.0,33.0,0.763359,MKaR,35,18
61,2017-01-03 13:00:00,23.4043,24.4898,43.0,31.0,0.381679,MKaR,35,18
62,2017-01-03 14:00:00,22.3404,21.9388,34.0,24.0,0.763359,MKaR,35,18
63,2017-01-03 15:00:00,36.7021,13.7755,31.0,23.0,0.763359,MKaR,35,18
64,2017-01-03 16:00:00,43.617,9.69388,32.0,24.0,0.763359,MKaR,35,18
65,2017-01-03 17:00:00,53.1915,5.102040000000001,37.0,27.0,0.763359,MKaR,35,18
66,2017-01-03 18:00:00,53.1915,5.102040000000001,37.0,27.0,0.763359,MKaR,35,18
67,2017-01-03 19:00:00,53.1915,5.102040000000001,37.0,27.0,0.763359,MKaR,35,18
68,2017-01-03 20:00:00,53.1915,5.102040000000001,37.0,27.0,0.763359,MKaR,35,18
69,2017-01-03 21:00:00,53.1915,5.102040000000001,37.0,27.0,0.763359,MKaR,35,18
70,2017-01-03 22:00:00,67.5532,14.7959,47.0,32.0,1.9084,MKaR,35,18
71,2017-01-03 23:00:00,62.233999999999995,13.7755,53.0,35.0,1.52672,MKaR,35,18
72,2017-01-04 00:00:00,56.383,15.8163,45.0,29.0,1.52672,MKaR,35,18
73,2017-01-04 01:00:00,67.5532,12.2449,38.0,24.0,1.52672,MKaR,35,18
74,2017-01-04 02:00:00,79.2553,8.163269999999999,47.0,32.0,1.52672,MKaR,35,18
75,2017-01-04 03:00:00,75.0,11.2245,54.0,40.0,1.9084,MKaR,35,18
76,2017-01-04 04:00:00,71.8085,12.2449,62.0,47.0,1.9084,MKaR,35,18
77,2017-01-04 05:00:00,52.6596,21.4286,57.0,42.0,1.52672,MKaR,35,18
78,2017-01-04 06:00:00,60.6383,13.2653,47.0,34.0,1.14504,MKaR,35,18
79,2017-01-04 07:00:00,54.2553,14.7959,46.0,33.0,1.14504,MKaR,35,18
80,2017-01-04 08:00:00,56.9149,12.2449,45.0,32.0,1.14504,MKaR,35,18
81,2017-01-04 09:00:00,44.6809,18.3673,50.0,36.0,1.52672,MKaR,35,18
82,2017-01-04 10:00:00,37.234,18.8776,46.0,33.0,1.14504,MKaR,35,18
83,2017-01-04 11:00:00,31.9149,22.449,40.0,29.0,1.14504,MKaR,35,18
84,2017-01-04 12:00:00,37.234,15.8163,41.0,30.0,1.14504,MKaR,35,18
85,2017-01-04 13:00:00,36.1702,15.3061,36.0,28.0,1.14504,MKaR,35,18
86,2017-01-04 14:00:00,36.7021,12.2449,29.0,23.0,0.763359,MKaR,35,18
87,2017-01-04 15:00:00,37.766,12.2449,21.0,17.0,0.763359,MKaR,35,18
88,2017-01-04 16:00:00,56.383,2.5510200000000003,25.0,21.0,0.763359,MKaR,35,18
89,2017-01-04 17:00:00,59.0426,2.5510200000000003,30.0,24.0,1.14504,MKaR,35,18
90,2017-01-04 18:00:00,57.4468,3.06122,36.0,28.0,0.763359,MKaR,35,18
91,2017-01-04 19:00:00,60.6383,5.61225,36.0,26.0,1.14504,MKaR,35,18
92,2017-01-04 20:00:00,62.233999999999995,5.61225,38.0,26.0,1.14504,MKaR,35,18
93,2017-01-04 21:00:00,56.9149,10.7143,43.0,31.0,0.763359,MKaR,35,18
94,2017-01-04 22:00:00,60.1064,10.2041,39.0,29.0,1.14504,MKaR,35,18
95,2017-01-04 23:00:00,60.1064,10.2041,41.0,29.0,1.52672,MKaR,35,18
96,2017-01-05 00:00:00,68.0851,6.63265,40.0,26.0,1.52672,MKaR,35,18
97,2017-01-05 01:00:00,67.5532,4.0816300000000005,42.0,28.0,1.52672,MKaR,35,18
98,2017-01-05 02:00:00,70.7447,1.53061,46.0,31.0,1.14504,MKaR,35,18
99,2017-01-05 03:00:00,80.8511,1.02041,48.0,32.0,1.14504,MKaR,35,18
100,2017-01-05 04:00:00,77.6596,2.5510200000000003,55.0,38.0,1.14504,MKaR,35,18
101,2017-01-05 05:00:00,77.6596,1.53061,56.0,41.0,1.9084,MKaR,35,18
102,2017-01-05 06:00:00,67.5532,1.02041,56.0,40.0,2.29008,MKaR,35,18
103,2017-01-05 07:00:00,60.6383,2.5510200000000003,49.0,37.0,2.29008,MKaR,35,18
104,2017-01-05 08:00:00,57.4468,3.5714300000000003,45.0,34.0,3.05344,MKaR,35,18
105,2017-01-05 09:00:00,51.5957,6.12245,47.0,38.0,2.29008,MKaR,35,18
106,2017-01-05 10:00:00,49.4681,6.63265,46.0,36.0,1.9084,MKaR,35,18
107,2017-01-05 11:00:00,35.1064,14.7959,40.0,31.0,1.52672,MKaR,35,18
108,2017-01-05 12:00:00,40.9574,6.63265,37.0,28.0,1.9084,MKaR,35,18
109,2017-01-05 13:00:00,25.5319,18.8776,36.0,27.0,1.9084,MKaR,35,18
110,2017-01-05 14:00:00,28.1915,16.3265,40.0,31.0,1.9084,MKaR,35,18
111,2017-01-05 15:00:00,34.5745,12.2449,47.0,37.0,1.9084,MKaR,35,18
112,2017-01-05 16:00:00,56.383,2.04082,54.0,43.0,2.67176,MKaR,35,18
113,2017-01-05 17:00:00,57.9787,3.5714300000000003,54.0,40.0,2.67176,MKaR,35,18
114,2017-01-05 18:00:00,60.6383,5.102040000000001,60.0,44.0,3.05344,MKaR,35,18
115,2017-01-05 19:00:00,61.1702,10.2041,66.0,46.0,2.67176,MKaR,35,18
116,2017-01-05 20:00:00,56.9149,14.2857,59.0,42.0,1.9084,MKaR,35,18
117,2017-01-05 21:00:00,67.5532,7.653060000000001,44.0,33.0,1.14504,MKaR,35,18
118,2017-01-05 22:00:00,61.7021,8.163269999999999,35.0,27.0,1.14504,MKaR,35,18
119,2017-01-05 23:00:00,48.9362,12.2449,33.0,24.0,0.763359,MKaR,35,18
120,2017-01-06 00:00:00,50.5319,13.7755,32.0,20.0,1.52672,MKaR,35,18
121,2017-01-06 01:00:00,64.3617,10.2041,41.0,28.0,1.52672,MKaR,35,18
122,2017-01-06 02:00:00,65.4255,6.12245,44.0,30.0,2.67176,MKaR,35,18
123,2017-01-06 03:00:00,79.2553,9.69388,45.0,32.0,4.1984699999999995,MKaR,35,18
124,2017-01-06 04:00:00,63.8298,25.5102,70.0,58.0,2.67176,MKaR,35,18
