,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,38.8298,29.0816,30.0,29.0,2.29008,SP_A,34,19
1,2017-01-01 01:00:00,44.1489,21.9388,41.0,31.0,1.9084,SP_A,34,19
2,2017-01-01 02:00:00,44.1489,22.9592,50.0,33.0,2.67176,SP_A,34,19
3,2017-01-01 03:00:00,41.4894,28.5714,53.0,30.0,3.05344,SP_A,34,19
4,2017-01-01 04:00:00,42.5532,24.4898,51.0,29.0,2.67176,SP_A,34,19
5,2017-01-01 05:00:00,38.2979,22.449,50.0,32.0,2.29008,SP_A,34,19
6,2017-01-01 06:00:00,36.1702,22.449,48.0,30.0,1.9084,SP_A,34,19
7,2017-01-01 07:00:00,33.5106,22.9592,45.0,28.0,1.9084,SP_A,34,19
8,2017-01-01 08:00:00,35.6383,19.3878,41.0,25.0,1.52672,SP_A,34,19
9,2017-01-01 09:00:00,30.8511,22.449,39.0,23.0,1.52672,SP_A,34,19
10,2017-01-01 10:00:00,19.6809,30.101999999999997,42.0,19.0,1.9084,SP_A,34,19
11,2017-01-01 11:00:00,15.9574,33.1633,50.0,23.0,1.52672,SP_A,34,19
12,2017-01-01 12:00:00,14.3617,31.1224,49.0,28.0,2.67176,SP_A,34,19
13,2017-01-01 13:00:00,13.2979,31.6327,40.0,26.0,1.9084,SP_A,34,19
14,2017-01-01 14:00:00,18.0851,26.5306,30.0,20.0,1.52672,SP_A,34,19
15,2017-01-01 15:00:00,24.4681,21.9388,30.0,20.0,1.9084,SP_A,34,19
16,2017-01-01 16:00:00,29.2553,19.3878,30.0,20.0,1.52672,SP_A,34,19
17,2017-01-01 17:00:00,27.6596,19.3878,30.0,20.0,1.52672,SP_A,34,19
18,2017-01-01 18:00:00,25.5319,23.4694,30.0,20.0,1.9084,SP_A,34,19
19,2017-01-01 19:00:00,26.5957,28.5714,30.0,20.0,1.52672,SP_A,34,19
20,2017-01-01 20:00:00,36.1702,19.898,30.0,20.0,2.29008,SP_A,34,19
21,2017-01-01 21:00:00,40.9574,18.8776,30.0,20.0,3.81679,SP_A,34,19
22,2017-01-01 22:00:00,39.8936,23.4694,30.0,20.0,5.34351,SP_A,34,19
23,2017-01-01 23:00:00,35.6383,32.1429,43.0,19.0,6.10687,SP_A,34,19
24,2017-01-02 00:00:00,42.0213,31.1224,49.0,26.0,7.2519100000000005,SP_A,34,19
25,2017-01-02 01:00:00,50.5319,23.4694,52.0,34.0,6.48855,SP_A,34,19
26,2017-01-02 02:00:00,71.2766,6.12245,54.0,39.0,6.87023,SP_A,34,19
