,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,26.5957,25.5102,39.0,19.0,4.1984699999999995,TC_A,13,14
1,2017-01-01 01:00:00,41.4894,13.7755,44.0,30.0,5.34351,TC_A,13,14
2,2017-01-01 02:00:00,50.0,7.653060000000001,47.0,37.0,6.10687,TC_A,13,14
3,2017-01-01 03:00:00,40.4255,1.53061,43.0,33.0,4.58015,TC_A,13,14
4,2017-01-01 04:00:00,39.3617,4.0816300000000005,39.0,32.0,4.1984699999999995,TC_A,13,14
5,2017-01-01 05:00:00,34.5745,6.12245,38.0,32.0,3.81679,TC_A,13,14
6,2017-01-01 06:00:00,30.3191,0.510204,40.0,27.0,3.43511,TC_A,13,14
7,2017-01-01 07:00:00,31.9149,0.510204,43.0,27.0,3.43511,TC_A,13,14
8,2017-01-01 08:00:00,24.4681,0.510204,41.0,30.0,3.05344,TC_A,13,14
9,2017-01-01 09:00:00,24.4681,2.04082,40.0,35.0,3.05344,TC_A,13,14
10,2017-01-01 10:00:00,27.6596,5.61225,38.0,33.0,2.67176,TC_A,13,14
11,2017-01-01 11:00:00,19.6809,12.2449,36.0,28.0,2.67176,TC_A,13,14
12,2017-01-01 12:00:00,15.9574,12.2449,37.0,21.0,2.67176,TC_A,13,14
13,2017-01-01 13:00:00,9.04255,29.5918,38.0,17.0,2.67176,TC_A,13,14
14,2017-01-01 14:00:00,27.6596,8.163269999999999,33.0,22.0,3.05344,TC_A,13,14
15,2017-01-01 15:00:00,30.3191,1.02041,35.0,24.0,3.05344,TC_A,13,14
16,2017-01-01 16:00:00,26.5957,1.53061,41.0,31.0,3.05344,TC_A,13,14
17,2017-01-01 17:00:00,21.2766,1.53061,36.0,27.0,3.05344,TC_A,13,14
18,2017-01-01 18:00:00,25.5319,5.102040000000001,34.0,21.0,3.43511,TC_A,13,14
19,2017-01-01 19:00:00,21.2766,17.8571,31.0,20.0,4.58015,TC_A,13,14
20,2017-01-01 20:00:00,21.2766,25.0,31.0,20.0,4.1984699999999995,TC_A,13,14
21,2017-01-01 21:00:00,36.1702,19.898,32.0,23.0,4.96183,TC_A,13,14
22,2017-01-01 22:00:00,38.2979,19.3878,47.0,32.0,6.10687,TC_A,13,14
23,2017-01-01 23:00:00,38.2979,19.3878,70.0,37.0,6.10687,TC_A,13,14
24,2017-01-02 00:00:00,36.1702,26.5306,68.0,37.0,5.7251900000000004,TC_A,13,14
25,2017-01-02 01:00:00,46.2766,25.0,63.0,38.0,5.7251900000000004,TC_A,13,14
26,2017-01-02 02:00:00,55.8511,13.2653,64.0,41.0,4.96183,TC_A,13,14
27,2017-01-02 03:00:00,38.8298,0.510204,69.0,46.0,3.43511,TC_A,13,14
28,2017-01-02 04:00:00,34.5745,0.510204,63.0,46.0,3.43511,TC_A,13,14
29,2017-01-02 05:00:00,34.0426,1.02041,51.0,43.0,3.43511,TC_A,13,14
30,2017-01-02 06:00:00,37.234,1.02041,43.0,37.0,3.43511,TC_A,13,14
31,2017-01-02 07:00:00,41.4894,1.53061,45.0,36.0,3.43511,TC_A,13,14
32,2017-01-02 08:00:00,38.2979,2.04082,54.0,39.0,3.43511,TC_A,13,14
33,2017-01-02 09:00:00,40.4255,1.53061,56.0,45.0,3.43511,TC_A,13,14
34,2017-01-02 10:00:00,45.7447,8.163269999999999,59.0,51.0,3.43511,TC_A,13,14
35,2017-01-02 11:00:00,39.3617,7.653060000000001,61.0,44.0,3.43511,TC_A,13,14
36,2017-01-02 12:00:00,39.3617,7.653060000000001,63.0,49.0,3.43511,TC_A,13,14
37,2017-01-02 13:00:00,40.9574,9.69388,76.0,62.0,4.1984699999999995,TC_A,13,14
38,2017-01-02 14:00:00,50.0,5.61225,92.0,74.0,4.1984699999999995,TC_A,13,14
39,2017-01-02 15:00:00,36.1702,6.63265,98.0,80.0,3.43511,TC_A,13,14
40,2017-01-02 16:00:00,39.3617,6.12245,95.0,76.0,3.81679,TC_A,13,14
41,2017-01-02 17:00:00,42.5532,9.18367,91.0,79.0,4.58015,TC_A,13,14
42,2017-01-02 18:00:00,15.4255,33.6735,88.0,72.0,5.34351,TC_A,13,14
43,2017-01-02 19:00:00,17.5532,31.1224,62.0,46.0,5.34351,TC_A,13,14
44,2017-01-02 20:00:00,13.2979,36.2245,39.0,24.0,4.1984699999999995,TC_A,13,14
45,2017-01-02 21:00:00,10.6383,37.7551,38.0,22.0,3.43511,TC_A,13,14
