,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,17.5532,48.9796,33.0,23.0,2.67176,TP_A,35,32
1,2017-01-01 01:00:00,15.9574,49.4898,34.0,24.0,2.67176,TP_A,35,32
2,2017-01-01 02:00:00,19.1489,43.3673,36.0,27.0,3.05344,TP_A,35,32
3,2017-01-01 03:00:00,28.1915,36.2245,38.0,27.0,3.05344,TP_A,35,32
4,2017-01-01 04:00:00,26.0638,40.3061,37.0,26.0,2.67176,TP_A,35,32
5,2017-01-01 05:00:00,15.4255,46.4286,37.0,26.0,2.67176,TP_A,35,32
6,2017-01-01 06:00:00,21.8085,33.6735,35.0,21.0,2.67176,TP_A,35,32
7,2017-01-01 07:00:00,14.3617,32.6531,32.0,19.0,1.9084,TP_A,35,32
8,2017-01-01 08:00:00,15.9574,26.5306,29.0,19.0,1.9084,TP_A,35,32
9,2017-01-01 09:00:00,18.617,23.4694,30.0,21.0,1.9084,TP_A,35,32
10,2017-01-01 10:00:00,21.2766,13.7755,32.0,23.0,1.9084,TP_A,35,32
11,2017-01-01 11:00:00,16.4894,15.8163,32.0,25.0,1.52672,TP_A,35,32
12,2017-01-01 12:00:00,19.6809,8.67347,28.0,21.0,1.52672,TP_A,35,32
13,2017-01-01 13:00:00,19.1489,10.7143,31.0,23.0,1.52672,TP_A,35,32
14,2017-01-01 14:00:00,21.8085,6.12245,28.0,20.0,1.52672,TP_A,35,32
15,2017-01-01 15:00:00,26.5957,1.02041,28.0,20.0,1.52672,TP_A,35,32
16,2017-01-01 16:00:00,19.1489,12.7551,28.0,19.0,1.9084,TP_A,35,32
17,2017-01-01 17:00:00,31.383000000000003,6.63265,32.0,21.0,2.67176,TP_A,35,32
18,2017-01-01 18:00:00,19.1489,32.6531,38.0,24.0,3.05344,TP_A,35,32
19,2017-01-01 19:00:00,14.8936,39.2857,35.0,21.0,3.05344,TP_A,35,32
20,2017-01-01 20:00:00,17.5532,48.4694,34.0,21.0,3.05344,TP_A,35,32
21,2017-01-01 21:00:00,19.6809,52.0408,34.0,21.0,2.67176,TP_A,35,32
22,2017-01-01 22:00:00,15.9574,54.0816,34.0,25.0,2.29008,TP_A,35,32
23,2017-01-01 23:00:00,15.9574,55.102,22.0,15.0,2.29008,TP_A,35,32
24,2017-01-02 00:00:00,16.4894,57.1429,24.0,17.0,2.29008,TP_A,35,32
25,2017-01-02 01:00:00,23.4043,49.4898,26.0,17.0,2.29008,TP_A,35,32
26,2017-01-02 02:00:00,25.5319,33.6735,27.0,19.0,1.9084,TP_A,35,32
27,2017-01-02 03:00:00,37.766,14.2857,30.0,23.0,1.9084,TP_A,35,32
28,2017-01-02 04:00:00,38.8298,16.3265,38.0,29.0,1.9084,TP_A,35,32
29,2017-01-02 05:00:00,31.9149,18.3673,42.0,33.0,1.9084,TP_A,35,32
30,2017-01-02 06:00:00,28.7234,21.9388,44.0,34.0,2.29008,TP_A,35,32
31,2017-01-02 07:00:00,25.5319,22.9592,42.0,32.0,2.29008,TP_A,35,32
32,2017-01-02 08:00:00,22.3404,27.0408,43.0,32.0,2.29008,TP_A,35,32
33,2017-01-02 09:00:00,36.7021,6.63265,45.0,33.0,1.9084,TP_A,35,32
34,2017-01-02 10:00:00,35.1064,4.59184,41.0,33.0,1.52672,TP_A,35,32
35,2017-01-02 11:00:00,34.0426,1.53061,41.0,33.0,1.52672,TP_A,35,32
36,2017-01-02 12:00:00,30.8511,3.5714300000000003,42.0,34.0,2.29008,TP_A,35,32
