,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,42.0213,23.9796,24.0,17.0,4.96183,TW_A,30,23
1,2017-01-01 01:00:00,61.7021,8.67347,33.0,22.0,7.2519100000000005,TW_A,30,23
2,2017-01-01 02:00:00,63.2979,5.102040000000001,32.0,20.0,6.87023,TW_A,30,23
3,2017-01-01 03:00:00,62.766000000000005,3.5714300000000003,32.0,20.0,6.48855,TW_A,30,23
4,2017-01-01 04:00:00,39.3617,23.9796,31.0,20.0,4.96183,TW_A,30,23
5,2017-01-01 05:00:00,39.3617,25.0,30.0,20.0,4.58015,TW_A,30,23
6,2017-01-01 06:00:00,31.383000000000003,27.0408,32.0,22.0,4.1984699999999995,TW_A,30,23
7,2017-01-01 07:00:00,32.4468,18.3673,28.0,20.0,4.1984699999999995,TW_A,30,23
8,2017-01-01 08:00:00,35.1064,13.7755,28.0,21.0,3.81679,TW_A,30,23
9,2017-01-01 09:00:00,26.5957,19.898,22.0,15.0,3.43511,TW_A,30,23
10,2017-01-01 10:00:00,21.2766,20.4082,23.0,17.0,3.81679,TW_A,30,23
11,2017-01-01 11:00:00,23.4043,13.7755,18.0,11.0,3.43511,TW_A,30,23
12,2017-01-01 12:00:00,15.9574,29.5918,21.0,14.0,3.81679,TW_A,30,23
13,2017-01-01 13:00:00,9.57447,38.2653,14.0,6.0,3.81679,TW_A,30,23
14,2017-01-01 14:00:00,15.9574,29.5918,11.0,5.0,3.81679,TW_A,30,23
15,2017-01-01 15:00:00,26.0638,23.4694,18.0,13.0,3.81679,TW_A,30,23
16,2017-01-01 16:00:00,35.1064,15.3061,17.0,10.0,4.1984699999999995,TW_A,30,23
17,2017-01-01 17:00:00,46.2766,5.61225,19.0,10.0,6.10687,TW_A,30,23
18,2017-01-01 18:00:00,41.4894,12.7551,28.0,19.0,6.48855,TW_A,30,23
19,2017-01-01 19:00:00,32.4468,27.0408,24.0,16.0,4.1984699999999995,TW_A,30,23
20,2017-01-01 20:00:00,36.7021,23.4694,11.0,6.0,4.96183,TW_A,30,23
21,2017-01-01 21:00:00,55.8511,7.142860000000001,24.0,15.0,11.8321,TW_A,30,23
22,2017-01-01 22:00:00,46.2766,19.898,30.0,17.0,9.92366,TW_A,30,23
23,2017-01-01 23:00:00,43.617,28.0612,38.0,22.0,12.2137,TW_A,30,23
24,2017-01-02 00:00:00,55.3191,23.4694,50.0,31.0,12.9771,TW_A,30,23
25,2017-01-02 01:00:00,61.7021,16.3265,57.0,36.0,12.9771,TW_A,30,23
26,2017-01-02 02:00:00,76.5957,9.18367,55.0,36.0,11.8321,TW_A,30,23
27,2017-01-02 03:00:00,84.0426,3.5714300000000003,61.0,40.0,13.7405,TW_A,30,23
28,2017-01-02 04:00:00,73.4043,3.06122,60.0,43.0,12.5954,TW_A,30,23
29,2017-01-02 05:00:00,60.1064,1.53061,45.0,32.0,6.87023,TW_A,30,23
30,2017-01-02 06:00:00,63.8298,1.53061,45.0,35.0,7.2519100000000005,TW_A,30,23
31,2017-01-02 07:00:00,57.9787,5.61225,43.0,33.0,6.10687,TW_A,30,23
32,2017-01-02 08:00:00,57.4468,9.69388,39.0,29.0,5.34351,TW_A,30,23
33,2017-01-02 09:00:00,59.5745,9.69388,50.0,39.0,4.96183,TW_A,30,23
34,2017-01-02 10:00:00,47.8723,14.7959,48.0,39.0,4.96183,TW_A,30,23
35,2017-01-02 11:00:00,36.1702,25.0,53.0,42.0,4.96183,TW_A,30,23
36,2017-01-02 12:00:00,36.1702,25.0,56.0,45.0,4.96183,TW_A,30,23
37,2017-01-02 13:00:00,29.2553,24.4898,65.0,51.0,5.7251900000000004,TW_A,30,23
38,2017-01-02 14:00:00,33.5106,19.898,69.0,55.0,5.7251900000000004,TW_A,30,23
39,2017-01-02 15:00:00,50.0,8.67347,59.0,46.0,5.34351,TW_A,30,23
40,2017-01-02 16:00:00,60.6383,3.5714300000000003,55.0,43.0,5.34351,TW_A,30,23
41,2017-01-02 17:00:00,48.9362,13.7755,48.0,36.0,5.34351,TW_A,30,23
42,2017-01-02 18:00:00,44.1489,20.4082,47.0,33.0,5.7251900000000004,TW_A,30,23
43,2017-01-02 19:00:00,31.383000000000003,31.6327,47.0,31.0,5.34351,TW_A,30,23
44,2017-01-02 20:00:00,28.7234,35.2041,46.0,30.0,4.96183,TW_A,30,23
45,2017-01-02 21:00:00,26.5957,31.6327,47.0,34.0,3.81679,TW_A,30,23
46,2017-01-02 22:00:00,22.3404,37.7551,33.0,23.0,3.81679,TW_A,30,23
47,2017-01-02 23:00:00,30.3191,38.2653,32.0,22.0,4.1984699999999995,TW_A,30,23
48,2017-01-03 00:00:00,35.6383,34.6939,38.0,26.0,4.1984699999999995,TW_A,30,23
49,2017-01-03 01:00:00,45.2128,24.4898,35.0,22.0,3.81679,TW_A,30,23
50,2017-01-03 02:00:00,46.2766,21.9388,36.0,24.0,4.1984699999999995,TW_A,30,23
51,2017-01-03 03:00:00,44.6809,21.4286,36.0,24.0,4.1984699999999995,TW_A,30,23
52,2017-01-03 04:00:00,36.7021,23.4694,35.0,24.0,3.81679,TW_A,30,23
53,2017-01-03 05:00:00,32.9787,23.9796,30.0,21.0,3.43511,TW_A,30,23
54,2017-01-03 06:00:00,29.2553,25.5102,26.0,19.0,3.81679,TW_A,30,23
55,2017-01-03 07:00:00,29.7872,21.9388,22.0,17.0,3.43511,TW_A,30,23
