,time,NO2,O3,PM10,PM25,SO2,station_code,x,y
0,2017-01-01 00:00:00,27.6596,35.7143,40.0,24.0,4.58015,YL_A,21,31
1,2017-01-01 01:00:00,36.1702,25.5102,46.0,24.0,6.10687,YL_A,21,31
2,2017-01-01 02:00:00,46.2766,13.2653,49.0,27.0,6.48855,YL_A,21,31
3,2017-01-01 03:00:00,48.4043,7.142860000000001,54.0,26.0,4.96183,YL_A,21,31
4,2017-01-01 04:00:00,42.0213,13.7755,44.0,26.0,4.58015,YL_A,21,31
5,2017-01-01 05:00:00,39.3617,12.2449,48.0,29.0,4.96183,YL_A,21,31
6,2017-01-01 06:00:00,30.3191,21.9388,47.0,24.0,3.81679,YL_A,21,31
7,2017-01-01 07:00:00,31.383000000000003,21.9388,47.0,21.0,3.43511,YL_A,21,31
8,2017-01-01 08:00:00,28.1915,21.4286,43.0,19.0,3.05344,YL_A,21,31
9,2017-01-01 09:00:00,29.7872,15.8163,41.0,18.0,3.05344,YL_A,21,31
10,2017-01-01 10:00:00,34.0426,7.653060000000001,43.0,22.0,3.05344,YL_A,21,31
11,2017-01-01 11:00:00,30.3191,10.7143,49.0,20.0,3.43511,YL_A,21,31
12,2017-01-01 12:00:00,31.383000000000003,3.5714300000000003,39.0,18.0,3.05344,YL_A,21,31
13,2017-01-01 13:00:00,25.0,8.163269999999999,44.0,18.0,3.05344,YL_A,21,31
14,2017-01-01 14:00:00,20.2128,16.8367,36.0,16.0,3.05344,YL_A,21,31
15,2017-01-01 15:00:00,24.4681,9.18367,39.0,18.0,3.05344,YL_A,21,31
16,2017-01-01 16:00:00,29.2553,8.67347,44.0,23.0,3.43511,YL_A,21,31
17,2017-01-01 17:00:00,29.7872,10.2041,50.0,28.0,4.1984699999999995,YL_A,21,31
18,2017-01-01 18:00:00,23.9362,19.3878,52.0,24.0,3.81679,YL_A,21,31
19,2017-01-01 19:00:00,17.0213,36.2245,54.0,17.0,3.81679,YL_A,21,31
20,2017-01-01 20:00:00,23.9362,39.2857,45.0,30.0,4.1984699999999995,YL_A,21,31
21,2017-01-01 21:00:00,20.7447,44.3878,63.0,30.0,3.43511,YL_A,21,31
22,2017-01-01 22:00:00,13.2979,45.4082,41.0,30.0,3.05344,YL_A,21,31
23,2017-01-01 23:00:00,50.5319,38.7755,21.0,30.0,6.48855,YL_A,21,31
24,2017-01-02 00:00:00,49.4681,37.7551,88.0,30.0,6.87023,YL_A,21,31
25,2017-01-02 01:00:00,48.9362,33.6735,73.0,31.0,7.2519100000000005,YL_A,21,31
26,2017-01-02 02:00:00,67.0213,25.0,61.0,39.0,6.87023,YL_A,21,31
27,2017-01-02 03:00:00,75.0,18.8776,76.0,46.0,6.10687,YL_A,21,31
28,2017-01-02 04:00:00,65.4255,7.653060000000001,91.0,40.0,6.10687,YL_A,21,31
29,2017-01-02 05:00:00,68.617,4.0816300000000005,78.0,41.0,7.2519100000000005,YL_A,21,31
30,2017-01-02 06:00:00,65.4255,2.04082,81.0,39.0,6.87023,YL_A,21,31
31,2017-01-02 07:00:00,57.9787,2.04082,79.0,41.0,6.10687,YL_A,21,31
32,2017-01-02 08:00:00,49.4681,2.04082,81.0,37.0,4.96183,YL_A,21,31
33,2017-01-02 09:00:00,43.617,2.5510200000000003,72.0,34.0,4.1984699999999995,YL_A,21,31
34,2017-01-02 10:00:00,41.4894,2.04082,68.0,36.0,3.81679,YL_A,21,31
35,2017-01-02 11:00:00,41.4894,2.04082,71.0,38.0,3.81679,YL_A,21,31
36,2017-01-02 12:00:00,35.6383,1.53061,73.0,37.0,3.81679,YL_A,21,31
37,2017-01-02 13:00:00,35.6383,2.04082,71.0,40.0,3.43511,YL_A,21,31
38,2017-01-02 14:00:00,36.1702,1.53061,75.0,41.0,3.05344,YL_A,21,31
39,2017-01-02 15:00:00,39.3617,2.04082,76.0,44.0,3.43511,YL_A,21,31
40,2017-01-02 16:00:00,49.4681,2.04082,86.0,51.0,3.81679,YL_A,21,31
41,2017-01-02 17:00:00,48.9362,2.5510200000000003,94.0,58.0,4.1984699999999995,YL_A,21,31
42,2017-01-02 18:00:00,51.0638,7.142860000000001,102.0,56.0,4.1984699999999995,YL_A,21,31
43,2017-01-02 19:00:00,26.5957,37.7551,103.0,33.0,4.96183,YL_A,21,31
44,2017-01-02 20:00:00,19.1489,48.9796,78.0,31.0,4.96183,YL_A,21,31
45,2017-01-02 21:00:00,17.5532,51.5306,71.0,30.0,4.1984699999999995,YL_A,21,31
46,2017-01-02 22:00:00,17.5532,48.9796,61.0,30.0,3.81679,YL_A,21,31
47,2017-01-02 23:00:00,15.9574,53.0612,56.0,27.0,3.81679,YL_A,21,31
48,2017-01-03 00:00:00,21.8085,49.4898,51.0,30.0,3.81679,YL_A,21,31
49,2017-01-03 01:00:00,26.5957,42.3469,52.0,33.0,3.81679,YL_A,21,31
50,2017-01-03 02:00:00,26.5957,41.3265,56.0,31.0,3.43511,YL_A,21,31
51,2017-01-03 03:00:00,11.7021,34.6939,49.0,30.0,3.43511,YL_A,21,31
52,2017-01-03 04:00:00,12.765999999999998,29.0816,54.0,28.0,3.05344,YL_A,21,31
53,2017-01-03 05:00:00,12.234000000000002,23.9796,49.0,24.0,3.05344,YL_A,21,31
54,2017-01-03 06:00:00,10.6383,25.0,42.0,24.0,3.05344,YL_A,21,31
55,2017-01-03 07:00:00,10.1064,23.9796,48.0,21.0,3.05344,YL_A,21,31
56,2017-01-03 08:00:00,11.1702,18.8776,38.0,18.0,3.05344,YL_A,21,31
57,2017-01-03 09:00:00,9.04255,23.4694,39.0,18.0,3.05344,YL_A,21,31
58,2017-01-03 10:00:00,7.97872,28.5714,33.0,19.0,3.05344,YL_A,21,31
59,2017-01-03 11:00:00,9.04255,22.449,40.0,19.0,3.05344,YL_A,21,31
60,2017-01-03 12:00:00,6.38298,36.2245,36.0,23.0,3.05344,YL_A,21,31
61,2017-01-03 13:00:00,6.38298,36.2245,46.0,28.0,3.05344,YL_A,21,31
62,2017-01-03 14:00:00,9.04255,24.4898,53.0,28.0,3.05344,YL_A,21,31
63,2017-01-03 15:00:00,11.7021,17.8571,49.0,29.0,3.05344,YL_A,21,31
64,2017-01-03 16:00:00,15.9574,7.653060000000001,55.0,28.0,3.05344,YL_A,21,31
65,2017-01-03 17:00:00,10.1064,21.9388,47.0,21.0,3.05344,YL_A,21,31
66,2017-01-03 18:00:00,7.44681,31.6327,38.0,22.0,3.05344,YL_A,21,31
67,2017-01-03 19:00:00,18.617,29.0816,39.0,19.0,3.05344,YL_A,21,31
68,2017-01-03 20:00:00,21.8085,28.5714,42.0,22.0,3.05344,YL_A,21,31
69,2017-01-03 21:00:00,16.4894,39.7959,43.0,17.0,3.05344,YL_A,21,31
70,2017-01-03 22:00:00,20.7447,37.2449,36.0,16.0,3.05344,YL_A,21,31
71,2017-01-03 23:00:00,17.5532,41.8367,27.0,16.0,3.05344,YL_A,21,31
72,2017-01-04 00:00:00,18.0851,43.8776,27.0,17.0,3.05344,YL_A,21,31
73,2017-01-04 01:00:00,22.3404,39.7959,31.0,17.0,3.05344,YL_A,21,31
74,2017-01-04 02:00:00,27.1277,36.7347,29.0,19.0,3.05344,YL_A,21,31
75,2017-01-04 03:00:00,37.234,25.5102,38.0,25.0,3.05344,YL_A,21,31
